"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/23/2024 01:19:26:449 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.5","1","0.6","365","0.43","true","1","1","0.6","4","0.3","20","13","true","0.25","false","30","0.1","10","0.5","30","5"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","73.8","0","16.5","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","60"

"""cases"""
"x","y","color","pen down?"
"0","1","15","true"
"1","0","15","true"
"2","0","15","true"
"3","1","15","true"
"4","1","15","true"
"5","0","15","true"
"6","0","15","true"
"7","0","15","true"
"8","0","15","true"
"9","0","15","true"
"10","0","15","true"
"11","0","15","true"
"12","1","15","true"
"13","0","15","true"
"14","0","15","true"
"15","1","15","true"
"16","2","15","true"
"17","1","15","true"
"18","2","15","true"
"19","0","15","true"
"20","0","15","true"
"21","1","15","true"
"22","1","15","true"
"23","1","15","true"
"24","1","15","true"
"25","3","15","true"
"26","1","15","true"
"27","3","15","true"
"28","2","15","true"
"29","2","15","true"
"30","3","15","true"
"31","3","15","true"
"32","1","15","true"
"33","0","15","true"
"34","0","15","true"
"35","1","15","true"
"36","1","15","true"
"37","2","15","true"
"38","3","15","true"
"39","5","15","true"
"40","9","15","true"
"41","6","15","true"
"42","4","15","true"
"43","6","15","true"
"44","4","15","true"
"45","6","15","true"
"46","5","15","true"
"47","7","15","true"
"48","4","15","true"
"49","3","15","true"
"50","3","15","true"
"51","5","15","true"
"52","9","15","true"
"53","5","15","true"
"54","5","15","true"
"55","6","15","true"
"56","10","15","true"
"57","9","15","true"
"58","12","15","true"
"59","15","15","true"
"60","8","15","true"
