"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 23:38:05:992 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","0","0","0.1","0.5","0.5","4","30","10","20","true","true","false","1","13","1","0.6","0.6","1","0.43","365"

"""Disease Progression"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","12600","true","""recovered""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""recovered""","true","0","1","5","90"
"""infected""","true","0","1","15","90"
"""dead""","true","0","1","0","90"
"""healthy""","true","0","1","45","90"

"""recovered""",,,,"""infected""",,,,"""dead""",,,,"""healthy"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","5","true","0","0","15","true","0","0","0","true","0","0","45","true"
"1","0","5","true","1","2","15","true","1","0","0","true","1","11425","45","true"
"2","0","5","true","2","4","15","true","2","0","0","true","2","11423","45","true"
"3","0","5","true","3","5","15","true","3","0","0","true","3","11422","45","true"
"4","0","5","true","4","9","15","true","4","0","0","true","4","11418","45","true"
"5","0","5","true","5","12","15","true","5","0","0","true","5","11415","45","true"
"6","0","5","true","6","14","15","true","6","0","0","true","6","11413","45","true"
"7","0","5","true","7","15","15","true","7","0","0","true","7","11412","45","true"
"8","0","5","true","8","17","15","true","8","0","0","true","8","11410","45","true"
"9","0","5","true","9","19","15","true","9","0","0","true","9","11408","45","true"
"10","0","5","true","10","20","15","true","10","0","0","true","10","11407","45","true"
"11","0","5","true","11","21","15","true","11","0","0","true","11","11406","45","true"
"12","0","5","true","12","21","15","true","12","0","0","true","12","11406","45","true"
"13","0","5","true","13","24","15","true","13","0","0","true","13","11403","45","true"
"14","0","5","true","14","26","15","true","14","0","0","true","14","11401","45","true"
"15","0","5","true","15","29","15","true","15","0","0","true","15","11398","45","true"
"16","0","5","true","16","29","15","true","16","0","0","true","16","11398","45","true"
"17","0","5","true","17","33","15","true","17","0","0","true","17","11394","45","true"
"18","0","5","true","18","35","15","true","18","0","0","true","18","11392","45","true"
"19","0","5","true","19","35","15","true","19","0","0","true","19","11392","45","true"
"20","0","5","true","20","37","15","true","20","0","0","true","20","11390","45","true"
"21","0","5","true","21","39","15","true","21","0","0","true","21","11388","45","true"
"22","1","5","true","22","43","15","true","22","0","0","true","22","11383","45","true"
"23","1","5","true","23","47","15","true","23","0","0","true","23","11379","45","true"
"24","3","5","true","24","51","15","true","24","0","0","true","24","11373","45","true"
"25","4","5","true","25","57","15","true","25","0","0","true","25","11366","45","true"
"26","4","5","true","26","62","15","true","26","0","0","true","26","11361","45","true"
"27","6","5","true","27","68","15","true","27","0","0","true","27","11353","45","true"
"28","6","5","true","28","76","15","true","28","0","0","true","28","11345","45","true"
"29","6","5","true","29","84","15","true","29","0","0","true","29","11337","45","true"
"30","6","5","true","30","94","15","true","30","0","0","true","30","11327","45","true"
"31","8","5","true","31","98","15","true","31","0","0","true","31","11321","45","true"
"32","9","5","true","32","104","15","true","32","0","0","true","32","11314","45","true"
"33","9","5","true","33","112","15","true","33","0","0","true","33","11306","45","true"
"34","9","5","true","34","117","15","true","34","0","0","true","34","11301","45","true"
"35","9","5","true","35","126","15","true","35","0","0","true","35","11292","45","true"
"36","11","5","true","36","132","15","true","36","0","0","true","36","11284","45","true"
"37","12","5","true","37","135","15","true","37","0","0","true","37","11280","45","true"
"38","12","5","true","38","145","15","true","38","0","0","true","38","11270","45","true"
"39","14","5","true","39","156","15","true","39","0","0","true","39","11257","45","true"
"40","16","5","true","40","162","15","true","40","0","0","true","40","11249","45","true"
"41","19","5","true","41","168","15","true","41","0","0","true","41","11240","45","true"
"42","22","5","true","42","172","15","true","42","0","0","true","42","11233","45","true"
"43","25","5","true","43","179","15","true","43","0","0","true","43","11223","45","true"
"44","28","5","true","44","191","15","true","44","0","0","true","44","11208","45","true"
"45","30","5","true","45","204","15","true","45","0","0","true","45","11193","45","true"
"46","31","5","true","46","223","15","true","46","1","0","true","46","11172","45","true"
"47","36","5","true","47","236","15","true","47","2","0","true","47","11153","45","true"
"48","41","5","true","48","247","15","true","48","2","0","true","48","11137","45","true"
"49","43","5","true","49","271","15","true","49","3","0","true","49","11110","45","true"
"50","45","5","true","50","290","15","true","50","3","0","true","50","11089","45","true"
"51","55","5","true","51","293","15","true","51","3","0","true","51","11076","45","true"
"52","60","5","true","52","300","15","true","52","3","0","true","52","11064","45","true"
"53","63","5","true","53","308","15","true","53","5","0","true","53","11051","45","true"
"54","65","5","true","54","316","15","true","54","5","0","true","54","11041","45","true"
"55","73","5","true","55","314","15","true","55","5","0","true","55","11035","45","true"
"56","77","5","true","56","316","15","true","56","7","0","true","56","11027","45","true"
"57","82","5","true","57","316","15","true","57","7","0","true","57","11022","45","true"
"58","89","5","true","58","315","15","true","58","8","0","true","58","11015","45","true"
"59","91","5","true","59","316","15","true","59","11","0","true","59","11009","45","true"
"60","101","5","true","60","312","15","true","60","11","0","true","60","11003","45","true"
"61","103","5","true","61","316","15","true","61","13","0","true","61","10995","45","true"
"62","107","5","true","62","319","15","true","62","13","0","true","62","10988","45","true"
"63","112","5","true","63","324","15","true","63","13","0","true","63","10978","45","true"
"64","120","5","true","64","337","15","true","64","14","0","true","64","10956","45","true"
"65","131","5","true","65","343","15","true","65","15","0","true","65","10938","45","true"
"66","140","5","true","66","350","15","true","66","16","0","true","66","10921","45","true"
"67","151","5","true","67","351","15","true","67","16","0","true","67","10909","45","true"
"68","164","5","true","68","347","15","true","68","18","0","true","68","10898","45","true"
"69","174","5","true","69","340","15","true","69","20","0","true","69","10893","45","true"
"70","180","5","true","70","343","15","true","70","20","0","true","70","10884","45","true"
"71","190","5","true","71","342","15","true","71","22","0","true","71","10873","45","true"
"72","199","5","true","72","338","15","true","72","24","0","true","72","10866","45","true"
"73","208","5","true","73","340","15","true","73","25","0","true","73","10854","45","true"
"74","219","5","true","74","337","15","true","74","27","0","true","74","10844","45","true"
"75","227","5","true","75","339","15","true","75","27","0","true","75","10834","45","true"
"76","236","5","true","76","334","15","true","76","29","0","true","76","10828","45","true"
"77","246","5","true","77","329","15","true","77","29","0","true","77","10823","45","true"
"78","257","5","true","78","324","15","true","78","29","0","true","78","10817","45","true"
"79","266","5","true","79","319","15","true","79","29","0","true","79","10813","45","true"
"80","275","5","true","80","314","15","true","80","33","0","true","80","10805","45","true"
"81","281","5","true","81","331","15","true","81","33","0","true","81","10782","45","true"
"82","288","5","true","82","345","15","true","82","33","0","true","82","10761","45","true"
"83","300","5","true","83","339","15","true","83","36","0","true","83","10752","45","true"
"84","310","5","true","84","342","15","true","84","38","0","true","84","10737","45","true"
"85","327","5","true","85","331","15","true","85","41","0","true","85","10728","45","true"
"86","341","5","true","86","326","15","true","86","42","0","true","86","10718","45","true"
"87","347","5","true","87","330","15","true","87","43","0","true","87","10707","45","true"
"88","360","5","true","88","324","15","true","88","45","0","true","88","10698","45","true"
"89","373","5","true","89","320","15","true","89","45","0","true","89","10689","45","true"
"90","378","5","true","90","329","15","true","90","46","0","true","90","10674","45","true"
