"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/23/2024 00:49:10:226 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","30","0","0.1","0.03","0.5","4","30","10","20","true","true","false","1","13","1","0.6","0.6","1","0.43","365"

"""Climate Impact"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","1910","true","""hot""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""hot""","true","0","1","25","330"
"""cold""","true","0","1","5","330"
"""moderate""","true","0","1","55","330"

"""hot""",,,,"""cold""",,,,"""moderate"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","0","5","true","0","0","55","true"
"1","0","25","true","1","0","5","true","1","1","55","true"
"2","0","25","true","2","0","5","true","2","2","55","true"
"3","0","25","true","3","0","5","true","3","2","55","true"
"4","0","25","true","4","0","5","true","4","5","55","true"
"5","0","25","true","5","0","5","true","5","7","55","true"
"6","0","25","true","6","0","5","true","6","10","55","true"
"7","0","25","true","7","0","5","true","7","13","55","true"
"8","0","25","true","8","0","5","true","8","13","55","true"
"9","0","25","true","9","0","5","true","9","15","55","true"
"10","0","25","true","10","0","5","true","10","17","55","true"
"11","0","25","true","11","0","5","true","11","23","55","true"
"12","0","25","true","12","0","5","true","12","29","55","true"
"13","0","25","true","13","0","5","true","13","33","55","true"
"14","0","25","true","14","0","5","true","14","34","55","true"
"15","0","25","true","15","0","5","true","15","41","55","true"
"16","0","25","true","16","0","5","true","16","46","55","true"
"17","0","25","true","17","0","5","true","17","54","55","true"
"18","0","25","true","18","0","5","true","18","65","55","true"
"19","0","25","true","19","2","5","true","19","72","55","true"
"20","0","25","true","20","2","5","true","20","75","55","true"
"21","0","25","true","21","4","5","true","21","82","55","true"
"22","1","25","true","22","6","5","true","22","84","55","true"
"23","1","25","true","23","8","5","true","23","89","55","true"
"24","2","25","true","24","10","5","true","24","94","55","true"
"25","2","25","true","25","13","5","true","25","97","55","true"
"26","3","25","true","26","15","5","true","26","100","55","true"
"27","4","25","true","27","17","5","true","27","105","55","true"
"28","6","25","true","28","21","5","true","28","112","55","true"
"29","6","25","true","29","23","5","true","29","115","55","true"
"30","7","25","true","30","23","5","true","30","123","55","true"
"31","7","25","true","31","28","5","true","31","130","55","true"
"32","9","25","true","32","33","5","true","32","132","55","true"
"33","11","25","true","33","34","5","true","33","139","55","true"
"34","12","25","true","34","38","5","true","34","146","55","true"
"35","13","25","true","35","41","5","true","35","152","55","true"
"36","13","25","true","36","45","5","true","36","151","55","true"
"37","13","25","true","37","49","5","true","37","153","55","true"
"38","13","25","true","38","53","5","true","38","156","55","true"
"39","13","25","true","39","54","5","true","39","160","55","true"
"40","14","25","true","40","59","5","true","40","165","55","true"
"41","15","25","true","41","59","5","true","41","174","55","true"
"42","14","25","true","42","64","5","true","42","177","55","true"
"43","14","25","true","43","71","5","true","43","178","55","true"
"44","14","25","true","44","78","5","true","44","179","55","true"
"45","13","25","true","45","104","5","true","45","174","55","true"
"46","14","25","true","46","136","5","true","46","176","55","true"
"47","13","25","true","47","137","5","true","47","175","55","true"
"48","13","25","true","48","137","5","true","48","177","55","true"
"49","12","25","true","49","138","5","true","49","189","55","true"
"50","14","25","true","50","138","5","true","50","192","55","true"
"51","12","25","true","51","138","5","true","51","202","55","true"
"52","11","25","true","52","141","5","true","52","215","55","true"
"53","12","25","true","53","144","5","true","53","225","55","true"
"54","12","25","true","54","144","5","true","54","222","55","true"
"55","12","25","true","55","144","5","true","55","226","55","true"
"56","13","25","true","56","144","5","true","56","222","55","true"
"57","15","25","true","57","145","5","true","57","226","55","true"
"58","19","25","true","58","147","5","true","58","240","55","true"
"59","27","25","true","59","151","5","true","59","253","55","true"
