"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/23/2024 01:01:10:196 +0100"

"MODEL SETTINGS"
"compliance-rate","port-travel-chance","initial-infected","virus-cold-resistance","days-until-healthy","infections-threshold","select-infection-country?","isolation-compliance","cold-threshold","virus-heat-resistance","movement-radius","population-scaling","min-recovery-time","heat-threshold","airports-and-ports-enabled?","infection-chance","isolation-enabled?","recovery-time-mean","mortality-rate","recovery-time-sd","airport-travel-chance","num-airports","num-ports"
"1","0.5","1","0.6","365","0.43","true","1","1","0.6","4","0.3","20","13","true","0.25","false","30","0.1","10","0.5","30","0"

"""Daily New Cases"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","231","0","229","true","""cases""","false","1"

"pen name","pen down?","mode","interval","color","x"
"""cases""","true","0","1","15","210"

"""cases"""
"x","y","color","pen down?"
"0","1","15","true"
"1","0","15","true"
"2","1","15","true"
"3","3","15","true"
"4","1","15","true"
"5","2","15","true"
"6","0","15","true"
"7","3","15","true"
"8","3","15","true"
"9","1","15","true"
"10","2","15","true"
"11","3","15","true"
"12","3","15","true"
"13","4","15","true"
"14","5","15","true"
"15","4","15","true"
"16","12","15","true"
"17","10","15","true"
"18","2","15","true"
"19","1","15","true"
"20","5","15","true"
"21","5","15","true"
"22","3","15","true"
"23","3","15","true"
"24","2","15","true"
"25","4","15","true"
"26","9","15","true"
"27","6","15","true"
"28","8","15","true"
"29","14","15","true"
"30","3","15","true"
"31","6","15","true"
"32","6","15","true"
"33","8","15","true"
"34","4","15","true"
"35","13","15","true"
"36","9","15","true"
"37","15","15","true"
"38","15","15","true"
"39","7","15","true"
"40","9","15","true"
"41","13","15","true"
"42","7","15","true"
"43","6","15","true"
"44","11","15","true"
"45","10","15","true"
"46","12","15","true"
"47","13","15","true"
"48","9","15","true"
"49","16","15","true"
"50","12","15","true"
"51","21","15","true"
"52","14","15","true"
"53","19","15","true"
"54","24","15","true"
"55","13","15","true"
"56","17","15","true"
"57","24","15","true"
"58","22","15","true"
"59","21","15","true"
"60","12","15","true"
"61","9","15","true"
"62","7","15","true"
"63","11","15","true"
"64","8","15","true"
"65","3","15","true"
"66","2","15","true"
"67","7","15","true"
"68","15","15","true"
"69","25","15","true"
"70","14","15","true"
"71","16","15","true"
"72","8","15","true"
"73","12","15","true"
"74","43","15","true"
"75","27","15","true"
"76","11","15","true"
"77","2","15","true"
"78","3","15","true"
"79","5","15","true"
"80","1","15","true"
"81","4","15","true"
"82","3","15","true"
"83","8","15","true"
"84","4","15","true"
"85","11","15","true"
"86","6","15","true"
"87","7","15","true"
"88","1","15","true"
"89","4","15","true"
"90","7","15","true"
"91","2","15","true"
"92","5","15","true"
"93","6","15","true"
"94","4","15","true"
"95","3","15","true"
"96","7","15","true"
"97","6","15","true"
"98","9","15","true"
"99","8","15","true"
"100","8","15","true"
"101","16","15","true"
"102","11","15","true"
"103","10","15","true"
"104","15","15","true"
"105","11","15","true"
"106","17","15","true"
"107","10","15","true"
"108","6","15","true"
"109","10","15","true"
"110","8","15","true"
"111","5","15","true"
"112","5","15","true"
"113","8","15","true"
"114","13","15","true"
"115","15","15","true"
"116","11","15","true"
"117","16","15","true"
"118","14","15","true"
"119","14","15","true"
"120","16","15","true"
"121","16","15","true"
"122","16","15","true"
"123","25","15","true"
"124","16","15","true"
"125","22","15","true"
"126","23","15","true"
"127","32","15","true"
"128","31","15","true"
"129","32","15","true"
"130","35","15","true"
"131","44","15","true"
"132","42","15","true"
"133","43","15","true"
"134","43","15","true"
"135","79","15","true"
"136","76","15","true"
"137","79","15","true"
"138","75","15","true"
"139","82","15","true"
"140","86","15","true"
"141","92","15","true"
"142","110","15","true"
"143","126","15","true"
"144","160","15","true"
"145","157","15","true"
"146","182","15","true"
"147","172","15","true"
"148","182","15","true"
"149","197","15","true"
"150","208","15","true"
"151","201","15","true"
"152","184","15","true"
"153","160","15","true"
"154","156","15","true"
"155","171","15","true"
"156","154","15","true"
"157","118","15","true"
"158","101","15","true"
"159","97","15","true"
"160","102","15","true"
"161","80","15","true"
"162","90","15","true"
"163","82","15","true"
"164","90","15","true"
"165","80","15","true"
"166","86","15","true"
"167","75","15","true"
"168","89","15","true"
"169","81","15","true"
"170","96","15","true"
"171","85","15","true"
"172","77","15","true"
"173","74","15","true"
"174","78","15","true"
"175","78","15","true"
"176","69","15","true"
"177","84","15","true"
"178","83","15","true"
"179","79","15","true"
"180","88","15","true"
"181","83","15","true"
"182","82","15","true"
"183","85","15","true"
"184","117","15","true"
"185","112","15","true"
"186","101","15","true"
"187","100","15","true"
"188","92","15","true"
"189","80","15","true"
"190","71","15","true"
"191","69","15","true"
"192","53","15","true"
"193","58","15","true"
"194","56","15","true"
"195","53","15","true"
"196","55","15","true"
"197","51","15","true"
"198","51","15","true"
"199","47","15","true"
"200","66","15","true"
"201","54","15","true"
"202","41","15","true"
"203","42","15","true"
"204","45","15","true"
"205","40","15","true"
"206","38","15","true"
"207","40","15","true"
"208","52","15","true"
"209","43","15","true"
"210","49","15","true"
