"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:12:00:873 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","24","17","0.1","0.05","0.03","4","30","10","20","false","true","false","1","13","1","0.6","0.05","1","0.43","365"

"""Disease Progression"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","12500","true","""recovered""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""recovered""","true","0","1","5","360"
"""infected""","true","0","1","15","360"
"""dead""","true","0","1","0","360"
"""healthy""","true","0","1","45","360"

"""recovered""",,,,"""infected""",,,,"""dead""",,,,"""healthy"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","5","true","0","0","15","true","0","0","0","true","0","0","45","true"
"1","0","5","true","1","3","15","true","1","0","0","true","1","11393","45","true"
"2","0","5","true","2","4","15","true","2","0","0","true","2","11392","45","true"
"3","0","5","true","3","5","15","true","3","0","0","true","3","11391","45","true"
"4","0","5","true","4","8","15","true","4","0","0","true","4","11388","45","true"
"5","0","5","true","5","9","15","true","5","0","0","true","5","11387","45","true"
"6","0","5","true","6","10","15","true","6","0","0","true","6","11386","45","true"
"7","0","5","true","7","11","15","true","7","0","0","true","7","11385","45","true"
"8","0","5","true","8","13","15","true","8","0","0","true","8","11383","45","true"
"9","0","5","true","9","17","15","true","9","0","0","true","9","11379","45","true"
"10","0","5","true","10","21","15","true","10","0","0","true","10","11375","45","true"
"11","0","5","true","11","26","15","true","11","0","0","true","11","11370","45","true"
"12","0","5","true","12","30","15","true","12","0","0","true","12","11366","45","true"
"13","0","5","true","13","33","15","true","13","0","0","true","13","11363","45","true"
"14","0","5","true","14","38","15","true","14","0","0","true","14","11358","45","true"
"15","0","5","true","15","41","15","true","15","0","0","true","15","11355","45","true"
"16","0","5","true","16","48","15","true","16","0","0","true","16","11348","45","true"
"17","0","5","true","17","53","15","true","17","0","0","true","17","11343","45","true"
"18","0","5","true","18","57","15","true","18","0","0","true","18","11339","45","true"
"19","0","5","true","19","64","15","true","19","0","0","true","19","11332","45","true"
