"export-plot data (NetLogo 6.4.0)"
"vladviiob.nlogo"
"11/22/2024 19:27:56:465 +0100"

"MODEL SETTINGS"
"infection-chance","initial-infected","population-scaling","num-airports","num-ports","mortality-rate","airport-travel-chance","port-travel-chance","movement-radius","recovery-time-mean","recovery-time-sd","min-recovery-time","airports-and-ports-enabled?","select-infection-country?","isolation-enabled?","compliance-rate","heat-threshold","cold-threshold","virus-heat-resistance","virus-cold-resistance","isolation-compliance","infections-threshold","days-until-healthy"
"0.25","1","0.3","24","17","0.1","0.05","0.03","4","30","10","20","false","true","false","1","13","1","0.9","0.9","1","0.43","365"

"""Climate Impact"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","364","0","2740","true","""hot""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""hot""","true","0","1","25","300"
"""cold""","true","0","1","5","300"
"""moderate""","true","0","1","55","300"

"""hot""",,,,"""cold""",,,,"""moderate"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","0","25","true","0","0","5","true","0","0","55","true"
"1","0","25","true","1","0","5","true","1","1","55","true"
"2","0","25","true","2","0","5","true","2","1","55","true"
"3","0","25","true","3","0","5","true","3","2","55","true"
"4","0","25","true","4","0","5","true","4","6","55","true"
"5","0","25","true","5","0","5","true","5","12","55","true"
"6","0","25","true","6","0","5","true","6","13","55","true"
"7","0","25","true","7","0","5","true","7","17","55","true"
"8","0","25","true","8","0","5","true","8","18","55","true"
"9","0","25","true","9","0","5","true","9","22","55","true"
"10","0","25","true","10","0","5","true","10","26","55","true"
"11","0","25","true","11","0","5","true","11","30","55","true"
"12","0","25","true","12","0","5","true","12","33","55","true"
"13","0","25","true","13","0","5","true","13","36","55","true"
"14","0","25","true","14","0","5","true","14","39","55","true"
"15","0","25","true","15","0","5","true","15","46","55","true"
"16","0","25","true","16","0","5","true","16","48","55","true"
"17","0","25","true","17","0","5","true","17","51","55","true"
"18","0","25","true","18","0","5","true","18","54","55","true"
"19","0","25","true","19","0","5","true","19","56","55","true"
"20","0","25","true","20","0","5","true","20","60","55","true"
"21","0","25","true","21","0","5","true","21","64","55","true"
"22","0","25","true","22","1","5","true","22","67","55","true"
"23","0","25","true","23","1","5","true","23","70","55","true"
"24","1","25","true","24","1","5","true","24","71","55","true"
"25","1","25","true","25","1","5","true","25","72","55","true"
"26","1","25","true","26","2","5","true","26","78","55","true"
"27","1","25","true","27","3","5","true","27","85","55","true"
"28","2","25","true","28","4","5","true","28","86","55","true"
"29","4","25","true","29","5","5","true","29","87","55","true"
"30","5","25","true","30","5","5","true","30","85","55","true"
"31","5","25","true","31","6","5","true","31","85","55","true"
"32","5","25","true","32","6","5","true","32","84","55","true"
"33","5","25","true","33","6","5","true","33","83","55","true"
"34","5","25","true","34","8","5","true","34","83","55","true"
"35","6","25","true","35","8","5","true","35","83","55","true"
"36","6","25","true","36","8","5","true","36","80","55","true"
"37","6","25","true","37","9","5","true","37","80","55","true"
"38","6","25","true","38","9","5","true","38","81","55","true"
"39","7","25","true","39","10","5","true","39","82","55","true"
"40","8","25","true","40","10","5","true","40","82","55","true"
"41","8","25","true","41","11","5","true","41","79","55","true"
"42","8","25","true","42","11","5","true","42","79","55","true"
"43","10","25","true","43","11","5","true","43","82","55","true"
"44","9","25","true","44","11","5","true","44","82","55","true"
"45","9","25","true","45","12","5","true","45","84","55","true"
"46","10","25","true","46","13","5","true","46","84","55","true"
"47","11","25","true","47","14","5","true","47","79","55","true"
"48","10","25","true","48","18","5","true","48","75","55","true"
"49","11","25","true","49","22","5","true","49","75","55","true"
"50","11","25","true","50","27","5","true","50","71","55","true"
"51","10","25","true","51","33","5","true","51","65","55","true"
"52","10","25","true","52","41","5","true","52","64","55","true"
"53","10","25","true","53","45","5","true","53","66","55","true"
"54","10","25","true","54","47","5","true","54","63","55","true"
"55","10","25","true","55","53","5","true","55","63","55","true"
"56","10","25","true","56","55","5","true","56","62","55","true"
"57","10","25","true","57","58","5","true","57","65","55","true"
"58","9","25","true","58","66","5","true","58","64","55","true"
"59","9","25","true","59","70","5","true","59","62","55","true"
